graph_kind,nodes,edges,shape,max_distance,reached_count,cpu_ms_per_run,gpu_ms_per_run,speedup_cpu_over_gpu,cpu_samples,gpu_samples
chain,256,510,chain_nodes=256,255,256,0.001680000,7.602956800,0.000220967,1,1
chain,1024,2046,chain_nodes=1024,1023,1024,0.008840000,58.266953800,0.000151715,1,1
chain,4096,8190,chain_nodes=4096,4095,4096,0.021980000,168.769647800,0.000130237,1,1
chain,8192,16382,chain_nodes=8192,8191,8192,0.043600000,310.987263000,0.000140199,1,1
chain,16384,32766,chain_nodes=16384,16383,16384,0.123620000,619.418243600,0.000199574,1,1
grid,256,960,grid=16x16,30,256,0.002280000,1.069977600,0.002130886,1,1
grid,4096,16128,grid=64x64,126,4096,0.029760000,4.995340800,0.005957551,1,1
grid,16384,65024,grid=128x128,254,16384,0.155360000,10.298618000,0.015085519,1,1
grid,262144,1046528,grid=512x512,1022,262144,2.766140000,49.554876300,0.055819734,2,2
layered,96,320,"layers=6, nodes_per_layer=16, fanout=4",5,51,0.001020000,0.260825600,0.003910659,2,2
layered,512,1792,"layers=8, nodes_per_layer=64, fanout=4",7,92,0.001870000,0.319795200,0.005847492,2,2
layered,4096,30720,"layers=16, nodes_per_layer=256, fanout=8",15,856,0.026240000,0.791459200,0.033153952,2,2
layered,16384,126976,"layers=32, nodes_per_layer=512, fanout=8",31,3504,0.102570000,2.049001600,0.050058526,2,2
layered,262144,2064384,"layers=64, nodes_per_layer=4096, fanout=8",63,14176,1.311370000,3.814665600,0.343770631,2,2
layered,786432,6225920,"layers=96, nodes_per_layer=8192, fanout=8",95,32016,4.690610000,6.238438300,0.751888497,2,2
random,256,2048,"random_nodes=256, out_degree=8, seed=1337",4,256,0.005210000,0.261433600,0.019928578,2,2
random,4096,32768,"random_nodes=4096, out_degree=8, seed=1337",6,4096,0.122420000,0.364550400,0.335810906,2,2
random,16384,131072,"random_nodes=16384, out_degree=8, seed=1337",6,16384,0.553870000,0.489526400,1.131440511,2,2
random,65536,524288,"random_nodes=65536, out_degree=8, seed=1337",7,65536,2.377140000,0.692521600,3.432586074,2,2
random,262144,2097152,"random_nodes=262144, out_degree=8, seed=1337",8,262144,13.486440000,1.130105600,11.933787427,2,2
random,1048576,8388608,"random_nodes=1048576, out_degree=8, seed=1337",8,1048576,111.904650000,2.944896000,37.999525280,2,2
