graph_kind,label,nodes,edges,shape,cpu_ms_per_run,gpu_naive_ms_per_run,gpu_non_naive_ms_per_run,speedup_cpu_over_gpu,speedup_cpu_over_gpu_naive,speedup_cpu_over_gpu_non_naive,gpu_naive_to_non_naive_speedup,gpu_iterations,gpu_naive_iterations,gpu_non_naive_iterations,gpu_converged,gpu_naive_converged,gpu_non_naive_converged,component_count,largest_component_size,mean_out_degree,gpu_edge_iterations,gpu_naive_edge_iterations,gpu_non_naive_edge_iterations,cpu_rows,gpu_rows,gpu_non_naive_rows,correct_cpu_rows,correct_gpu_rows,correct_gpu_non_naive_rows
chains,chains_8x64,512,1008,"components=8, component_size=64",0.02173333333333333,0.35045333333333334,0.13191466666666665,0.062014914016131475,0.062014914016131475,0.1647529716180157,2.656666936201181,7,7,2,True,True,True,8,64,1.96875,7056,7056,2016,1,1,1,1,1,1
chains,chains_16x128,2048,4064,"components=16, component_size=128",0.019,0.4795306666666667,0.123552,0.0396220749176973,0.0396220749176973,0.15378140378140379,3.8812052145385483,8,8,2,True,True,True,16,128,1.984375,32512,32512,8128,1,1,1,1,1,1
chains,chains_32x256,8192,16320,"components=32, component_size=256",0.11733333333333333,0.6836586666666666,0.15240533333333334,0.17162560654049586,0.17162560654049586,0.7698768197088466,4.485792273236282,9,9,2,True,True,True,32,256,1.992188,146880,146880,32640,1,1,1,1,1,1
chains,chains_64x512,32768,65408,"components=64, component_size=512",0.3544,0.5369066666666666,0.22301866666666667,0.6600774808781167,0.6600774808781167,1.5891046489382055,2.4074516931318155,10,10,2,True,True,True,64,512,1.996094,654080,654080,130816,1,1,1,1,1,1
grid_components,grid_4x16x16,1024,3840,"components=4, grid=16x16",0.010733333333333333,0.2782506666666667,0.13322666666666666,0.038574331058805485,0.038574331058805485,0.080564451561249,2.0885508406725384,5,5,2,True,True,True,4,256,3.75,19200,19200,7680,1,1,1,1,1,1
grid_components,grid_8x32x32,8192,31744,"components=8, grid=32x32",0.3325,0.37353600000000003,0.18125866666666668,0.8901417801764756,0.8901417801764756,1.8343950450185371,2.0607897369505093,6,6,2,True,True,True,8,1024,3.875,190464,190464,63488,1,1,1,1,1,1
grid_components,grid_16x64x64,65536,258048,"components=16, grid=64x64",0.9677333333333333,0.5013546666666667,0.31726933333333335,1.930237011191013,1.930237011191013,3.0501949973103817,1.580217859064013,7,7,2,True,True,True,16,4096,3.9375,1806336,1806336,516096,1,1,1,1,1,1
grid_components,grid_24x96x96,221184,875520,"components=24, grid=96x96",3.5564999999999998,0.8061866666666666,0.731712,4.411509327864515,4.411509327864515,4.860518892679086,1.1017813930435287,7,7,2,True,True,True,24,9216,3.958333,6128640,6128640,1751040,1,1,1,1,1,1
random_clusters,random_8x128_d4,1024,9844,"components=8, component_size=128, random_out_degree=4, seed=20260523",0.0318,0.14432,0.26489599999999996,0.22034368070953436,0.22034368070953436,0.12004711282918581,0.5448175887895628,2,2,2,True,True,True,8,128,9.613281,19688,19688,19688,1,1,1,1,1,1
random_clusters,random_16x256_d4,4096,40020,"components=16, component_size=256, random_out_degree=4, seed=20260523",0.16293333333333335,0.170656,0.15068800000000002,0.9547471716982312,0.9547471716982312,1.081262830041764,1.1325122106604373,2,2,2,True,True,True,16,256,9.770508,80040,80040,80040,1,1,1,1,1,1
random_clusters,random_32x512_d4,16384,161732,"components=32, component_size=512, random_out_degree=4, seed=20260523",0.5913333333333334,0.23722666666666667,0.22624,2.492693345323741,2.492693345323741,2.613743517208864,1.0485619990570485,3,3,2,True,True,True,32,512,9.871338,485196,485196,323464,1,1,1,1,1,1
random_clusters,random_64x1024_d4,65536,651488,"components=64, component_size=1024, random_out_degree=4, seed=20260523",2.460733333333333,0.36145066666666664,0.5214826666666666,6.807936906096914,6.807936906096914,4.718725071079384,0.6931211519973818,3,3,2,True,True,True,64,1024,9.940918,1954464,1954464,1302976,1,1,1,1,1,1
mixed,mixed_8x128,1024,2510,"components=8, component_size=128",0.008333333333333333,0.4872106666666667,0.14216533333333334,0.017104168491111304,0.017104168491111304,0.0586171968787515,3.4270708283313325,8,8,2,True,True,True,21,128,2.451172,20080,20080,5020,1,1,1,1,1,1
mixed,mixed_16x256,4096,10630,"components=16, component_size=256",0.054433333333333334,2.1650026666666666,0.145792,0.02514238627573669,0.02514238627573669,0.37336296458882057,14.849941469124962,9,9,2,True,True,True,46,256,2.595215,95670,95670,21260,1,1,1,1,1,1
mixed,mixed_32x512,16384,42762,"components=32, component_size=512",0.20686666666666667,1.0432106666666667,0.18251733333333334,0.19829807466181326,0.19829807466181326,1.1334083338203496,5.71567997194787,9,9,2,True,True,True,93,512,2.609985,384858,384858,85524,1,1,1,1,1,1
mixed,mixed_64x1024,65536,173574,"components=64, component_size=1024",0.7497666666666666,1.953632,0.32997333333333334,0.3837809099496049,0.3837809099496049,2.2722038144496524,5.920575400032326,11,11,2,True,True,True,190,1024,2.648529,1909314,1909314,347148,1,1,1,1,1,1
