graph_kind,label,nodes,edges,shape,cpu_ms_per_run,gpu_global_ms_per_run,speedup_cpu_over_gpu_global,gpu_global_iterations,gpu_global_converged,gpu_frontier_ms_per_run,speedup_cpu_over_gpu_frontier,gpu_frontier_iterations,gpu_frontier_converged,gpu_delta_ms_per_run,speedup_cpu_over_gpu_delta,gpu_delta_iterations,gpu_delta_converged,gpu_delta_light_heavy_ms_per_run,speedup_cpu_over_gpu_delta_light_heavy,gpu_delta_light_heavy_iterations,gpu_delta_light_heavy_converged,gpu_global_to_frontier_speedup,gpu_global_to_delta_speedup,gpu_global_to_delta_light_heavy_speedup,gpu_global_edge_iterations,gpu_frontier_active_node_visits,gpu_delta_active_node_visits,gpu_delta_light_heavy_active_node_visits,gpu_frontier_edge_work_estimate,gpu_delta_edge_work_estimate,gpu_delta_light_heavy_edge_work_estimate,gpu_frontier_max_frontier_size,gpu_delta_max_frontier_size,gpu_delta_light_heavy_max_frontier_size,reached_count,max_finite_distance,mean_out_degree,global_mismatch_count,frontier_mismatch_count,delta_mismatch_count,delta_light_heavy_mismatch_count,cpu_rows,gpu_global_rows,gpu_frontier_rows,gpu_delta_rows,gpu_delta_light_heavy_rows,correct_cpu_rows,correct_gpu_global_rows,correct_gpu_frontier_rows,correct_gpu_delta_rows,correct_gpu_delta_light_heavy_rows
chain,chain_256,256,510,chain_nodes=256,0.0026999999999999997,9.491338333333333,0.0002844698929883966,256,True,16.249535333333334,0.00016615859743763747,256,True,45.878463,5.885114329135219e-05,256,True,59.12354033333333,4.56670893653803e-05,256,True,0.5840990612121298,0.20688004158581624,0.1605339984686641,130560,256,256,256,510.000128,510.000128,510.000128,1,1,1,256,4263,1.992188,0,0,0,0,1,1,1,1,1,1,1,1,1,1
chain,chain_1024,1024,2046,chain_nodes=1024,0.011566666666666668,37.372054,0.00030950042688760614,1024,True,63.359454666666664,0.00018255628504883388,1024,True,195.10518166666668,5.928426179079184e-05,1024,True,263.74600133333337,4.385532523030832e-05,1024,True,0.5898417875692575,0.1915482391638855,0.14169713971423442,2095104,1024,1024,1024,2046.000128,2046.000128,2046.000128,1,1,1,1024,16808,1.998047,0,0,0,0,1,1,1,1,1,1,1,1,1,1
chain,chain_4096,4096,8190,chain_nodes=4096,0.0433,154.37492733333332,0.00028048596198853383,4096,True,267.1782513333333,0.00016206408936324175,4096,True,765.892918,5.653531842685089e-05,4096,True,2021.349064,2.1421337250041638e-05,4096,True,0.5777975062076971,0.20156202480166205,0.07637222589741349,33546240,4096,4096,4096,8190.001152,8190.001152,8190.001152,1,1,1,4096,65192,1.999512,0,0,0,0,1,1,1,1,1,1,1,1,1,1
grid,grid_16x16,256,960,grid=16x16,0.0075,1.20288,0.006235035913806863,31,True,2.4924373333333336,0.0030091027363844114,31,True,7.787541666666667,0.0009630767090598766,50,True,8.001141666666667,0.0009373662300275897,50,True,0.48261193327227747,0.15446209490585924,0.15033854543674494,29760,609,304,288,2283.75,1140.0,1080.0,42,26,26,256,279,3.75,0,0,0,0,1,1,1,1,1,1,1,1,1,1
grid,grid_64x64,4096,16128,grid=64x64,0.30556666666666665,4.750741333333333,0.06431978616109317,128,True,8.132949,0.03757144753602496,128,True,31.99028266666667,0.009551858914490365,242,True,36.896309,0.00828176787728731,242,True,0.5841351437631458,0.14850576291667233,0.12875925701222127,2064384,14165,5106,4847,55774.6875,20104.875,19085.0625,312,122,113,4096,1065,3.9375,0,0,0,0,1,1,1,1,1,1,1,1,1,1
grid,grid_128x128,16384,65024,grid=128x128,1.3974333333333335,10.178805333333333,0.13728854099970345,258,True,16.484021666666667,0.08477502405612386,259,True,64.12454566666666,0.02179248708595139,533,True,78.225022,0.01786427536362129,533,True,0.6174952653645505,0.1587349310238388,0.13012211531667364,16776192,119534,20473,19414,474400.5625,81252.21875,77049.3125,1207,249,229,16384,2006,3.96875,0,0,0,0,1,1,1,1,1,1,1,1,1,1
layered,layered_8x64_f4,512,1792,"layers=8, nodes_per_layer=64, fanout=4",0.004166666666666667,0.3578666666666667,0.011643070044709387,8,True,0.6932693333333333,0.006010170169554113,8,True,2.1585386666666664,0.0019303182894106138,16,True,2.7182826666666666,0.001532830532218381,16,True,0.5162014955226637,0.16579117724089884,0.13165174875117233,14336,163,115,104,570.5,402.5,364.0,48,37,32,92,91,3.5,0,0,0,0,1,1,1,1,1,1,1,1,1,1
layered,layered_16x256_f6,4096,23040,"layers=16, nodes_per_layer=256, fanout=6",0.0669,0.5671146666666667,0.11796556134444298,16,True,0.9309333333333334,0.07186336293325694,16,True,5.352799999999999,0.012498131818861159,49,True,8.530272,0.007842657303307562,49,True,0.6091893440274992,0.10594729238280279,0.06648260063297708,368640,1432,906,812,8055.0,5096.25,4567.5,182,130,102,616,236,5.625,0,0,0,0,1,1,1,1,1,1,1,1,1,1
layered,layered_32x512_f6,16384,95232,"layers=32, nodes_per_layer=512, fanout=6",0.29516666666666663,1.4002666666666668,0.21079318225099977,32,True,1.883744,0.1566914966506418,32,True,14.498581333333334,0.0203583136777704,117,True,18.728533333333335,0.015760265975623643,117,True,0.7433423366798603,0.0965795641982811,0.07476648821050233,3047424,6144,3765,3385,35712.0,21884.0625,19675.3125,387,305,248,2512,556,5.8125,0,0,0,0,1,1,1,1,1,1,1,1,1,1
layered,layered_64x2048_f8,131072,1032192,"layers=64, nodes_per_layer=2048, fanout=8",2.1005333333333334,3.7835093333333334,0.5551812215255537,50,True,4.356,0.4822161003979186,64,True,31.791518999999997,0.06607212864957265,285,True,40.495083,0.05187131813838567,285,True,0.8685742271196817,0.11901002067039747,0.09343132679425137,51609600,39303,23173,20851,309511.125,182487.375,164201.625,1250,1316,1025,14176,992,7.875,0,0,0,0,1,1,1,1,1,1,1,1,1,1
random,random_1024_d8,1024,8192,"random_nodes=1024, out_degree=8, seed=20260523",0.13386666666666666,0.6128426666666666,0.21843561805966513,14,True,0.8310613333333333,0.16107916623883356,14,True,2.2018346666666666,0.060797783182025174,19,True,2.270912,0.058948416612650184,19,True,0.7374217065407126,0.27833273585179874,0.26986632096121144,114688,3668,1644,1501,29344.0,13152.0,12008.0,1285,801,659,1024,57,8.0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
random,random_16384_d8,16384,131072,"random_nodes=16384, out_degree=8, seed=20260523",2.9610333333333334,0.8370666666666667,3.537392481682064,13,True,1.329856,2.226581925662127,18,True,3.1977493333333338,0.9259741851769077,26,True,3.8169706666666667,0.7757548045081475,26,True,0.6294415836501597,0.2617674431016481,0.21930130979960374,1703936,61865,26663,23251,494920.0,213304.0,186008.0,17574,14182,10821,16384,67,8.0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
random,random_65536_d8,65536,524288,"random_nodes=65536, out_degree=8, seed=20260523",14.408666666666667,1.3238613333333333,10.88381864767307,12,True,1.916608,7.517795327300453,20,True,4.2587839999999995,3.383281863242341,32,True,3.985205333333333,3.6155393415111363,32,True,0.6907314032568649,0.3108543033253937,0.3321940082384714,6291456,285818,104994,94537,2286544.0,839952.0,756296.0,83258,53896,43992,65536,75,8.0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
random,random_1048576_d8,1048576,8388608,"random_nodes=1048576, out_degree=8, seed=20260523",358.767,23.259808,15.424331963531255,17,True,26.346304,13.617355967652996,27,True,20.69904,17.33254295851402,42,True,24.281601,14.77526131823021,42,True,0.8828489946825179,1.1237143365102922,0.9579190433118475,142606336,4951300,1704696,1468266,39610400.0,13637568.0,11746128.0,1691235,955895,725438,1048576,91,8.0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
