track_index,zone_index,event_code,event_name,score
0,0,2,exit,3.07999992
1,0,4,cross_through,5.34200001
1,1,2,exit,4.59794998
2,1,2,exit,4.72990036
2,2,3,stay_inside,2.14890003
2,3,1,enter,10.3235502
2,4,1,enter,12.3003998
2,5,1,enter,14.2772503
3,2,2,exit,6.37069988
3,3,2,exit,7.8795495
4,2,2,exit,6.54360008
4,3,2,exit,8.0934
4,4,2,exit,9.64319992
5,3,2,exit,8.30724907
5,4,2,exit,9.89799976
5,5,3,stay_inside,4.11937475
5,6,1,enter,4.80249977
5,7,1,enter,6.96362495
5,8,1,enter,9.12474918
6,3,2,exit,7.39074945
6,4,2,exit,8.80599976
6,5,2,exit,10.2212496
6,6,2,exit,3.14499998
7,4,2,exit,9.0607996
7,5,2,exit,10.5170002
7,6,2,exit,3.23600006
7,7,2,exit,4.69220018
8,3,1,enter,10.5526743
8,4,3,stay_inside,3.25779986
8,5,2,exit,10.8127499
8,6,2,exit,3.3269999
8,7,2,exit,4.82415009
8,8,2,exit,6.32129955
9,5,2,exit,11.1084995
9,6,3,stay_inside,1.20899999
9,7,3,stay_inside,1.75305009
9,8,3,stay_inside,2.29710007
10,5,2,exit,11.4042492
10,6,2,exit,3.50899982
10,7,2,exit,5.08804989
10,8,2,exit,6.66709948
11,5,1,enter,13.5801258
11,6,3,stay_inside,1.05949998
11,7,3,stay_inside,1.53627503
11,8,3,stay_inside,2.01304984
12,6,2,exit,3.21000004
12,7,3,stay_inside,1.6022501
12,8,3,stay_inside,2.09949994
12,9,4,cross_through,12.7369995
12,10,1,enter,12.0819998
13,7,2,exit,4.78644991
13,8,2,exit,6.2718997
14,6,1,enter,4.58799982
14,7,1,enter,6.65259981
14,8,3,stay_inside,2.2723999
14,10,2,exit,9.4975996
15,8,2,exit,6.6177001
15,10,2,exit,9.7524004
15,11,3,stay_inside,4.03487492
16,11,2,exit,10.0522499
17,11,2,exit,10.3479996
